category,cooking_method,cuisine,image,ingredients,prep_time,recipe_name,serves,tags,category_encoded,cooking_method_encoded,cuisine_encoded,ingredients_str
dessert,boiling,indian,https://example.com/rasmalai.jpg,"['milk', 'sugar', 'cardamom', 'saffron']",50,Rasmalai,6,"['dairy', 'sweet']",0,1,11,milk sugar cardamom saffron
snack,grilling,mexican,https://example.com/quesadilla.jpg,"['tortilla', 'cheese', 'chicken', 'salsa']",20,Quesadilla,4,"['kid friendly', 'dairy']",3,4,16,tortilla cheese chicken salsa
main course,steaming,chinese,https://example.com/sweet_sour_chicken.jpg,"['chicken', 'pineapple', 'bell peppers']",40,Sweet and Sour Chicken,4,"['dairy free', 'kid friendly']",1,6,6,chicken pineapple bell peppers
side dish,frying,indian,https://example.com/aloo_tikki.jpg,"['potatoes', 'spices', 'breadcrumbs']",30,Aloo Tikki,6,"['vegan', 'quick']",2,3,11,potatoes spices breadcrumbs
dessert,baking,french,https://example.com/macarons.jpg,"['almond flour', 'sugar', 'egg whites']",90,Macarons,12,"['gluten free', 'sweet']",0,0,8,almond flour sugar egg whites
main course,grilling,mexican,https://example.com/fajitas.jpg,"['chicken', 'bell peppers', 'onions', 'tortillas']",30,Chicken Fajitas,4,"['quick', 'dairy free']",1,4,16,chicken bell peppers onions tortillas
snack,baking,italian,https://example.com/bruschetta.jpg,"['bread', 'tomatoes', 'basil', 'olive oil']",15,Bruschetta,6,"['vegan', 'quick']",3,0,12,bread tomatoes basil olive oil
dessert,baking,american,https://example.com/brownies.jpg,"['chocolate', 'flour', 'sugar', 'eggs']",40,Fudge Brownies,8,"['sweet', 'kid friendly']",0,0,1,chocolate flour sugar eggs
main course,steaming,chinese,https://example.com/dim_sum.jpg,"['dumpling wrappers', 'shrimp', 'soy sauce']",25,Shrimp Dim Sum,4,"['low carb', 'quick']",1,6,6,dumpling wrappers shrimp soy sauce
side dish,roasting,mediterranean,https://example.com/hummus.jpg,"['chickpeas', 'tahini', 'garlic', 'olive oil']",20,Hummus,6,"['vegan', 'gluten free']",2,5,15,chickpeas tahini garlic olive oil
snack,frying,korean,https://example.com/kimchi_pancakes.jpg,"['kimchi', 'flour', 'eggs', 'scallions']",30,Kimchi Pancakes,4,"['spicy', 'vegetarian']",3,3,14,kimchi flour eggs scallions
dessert,boiling,indian,https://example.com/gulab_jamun.jpg,"['milk solids', 'sugar', 'cardamom', 'rose water']",50,Gulab Jamun,6,"['dairy', 'sweet']",0,1,11,milk solids sugar cardamom rose water
main course,grilling,greek,https://example.com/souvlaki.jpg,"['pork', 'lemon', 'olive oil', 'oregano']",35,Pork Souvlaki,4,"['dairy free', 'quick']",1,4,10,pork lemon olive oil oregano
side dish,boiling,japanese,https://example.com/soba_noodles.jpg,"['soba noodles', 'soy sauce', 'sesame oil']",20,Sesame Soba Noodles,4,"['vegan', 'quick']",2,1,13,soba noodles soy sauce sesame oil
snack,baking,french,https://example.com/macarons.jpg,"['almond flour', 'sugar', 'egg whites']",90,French Macarons,8,"['gluten free', 'sweet']",3,0,8,almond flour sugar egg whites
dessert,freezing,american,https://example.com/popsicles.jpg,"['fruit juice', 'sugar', 'water']",240,Fruit Popsicles,6,"['vegan', 'sweet']",0,2,1,fruit juice sugar water
main course,frying,italian,https://example.com/arancini.jpg,"['rice', 'mozzarella', 'breadcrumbs', 'oil']",45,Arancini,6,"['dairy', 'kid friendly']",1,3,12,rice mozzarella breadcrumbs oil
snack,baking,mediterranean,https://example.com/pita_chips.jpg,"['pita bread', 'olive oil', ""za'atar""]",20,Pita Chips,4,"['vegan', 'quick']",3,0,15,pita bread olive oil za'atar
dessert,baking,greek,https://example.com/baklava.jpg,"['phyllo pastry', 'nuts', 'honey']",60,Baklava,8,"['sweet', 'dairy free']",0,0,10,phyllo pastry nuts honey
main course,boiling,vietnamese,https://example.com/bun_bo_hue.jpg,"['beef', 'rice noodles', 'lemongrass', 'chili']",60,Bun Bo Hue,6,"['spicy', 'dairy free']",1,1,20,beef rice noodles lemongrass chili
snack,frying,indian,https://example.com/bhajia.jpg,"['chickpea flour', 'onions', 'spices']",30,Onion Bhajia,4,"['vegan', 'spicy']",3,3,11,chickpea flour onions spices
dessert,freezing,japanese,https://example.com/matcha_ice_cream.jpg,"['matcha', 'milk', 'sugar', 'cream']",120,Matcha Ice Cream,8,"['dairy', 'sweet']",0,2,13,matcha milk sugar cream
main course,grilling,turkish,https://example.com/adana_kebab.jpg,"['ground lamb', 'spices', 'flatbread']",40,Adana Kebab,4,"['low carb', 'spicy']",1,4,19,ground lamb spices flatbread
side dish,roasting,french,https://example.com/ratatouille.jpg,"['eggplant', 'zucchini', 'tomatoes', 'herbs']",50,Ratatouille,6,"['vegan', 'gluten free']",2,5,8,eggplant zucchini tomatoes herbs
snack,baking,american,https://example.com/pretzels.jpg,"['flour', 'baking soda', 'salt', 'butter']",35,Soft Pretzels,4,"['kid friendly', 'vegetarian']",3,0,1,flour baking soda salt butter
